סמל היישוב,שם יישוב,"ממוצע תלמידים לכיתה בבתי ספר יסודיים תשע""ט 2018/19","אחוז תלמידים נושרים סה""כ תשע""ט 2018/19","אחוז זכאים לתעודת בגרות מבין תלמידי כיתות יב תשע""ט 2018/19","אחוז זכאים לתעודת בגרות שעמדו בדרישות הסף של האוניברסיטאות מבין תלמידי כיתות יב תשע""ט 2018/19","השכלה גבוהה אחוז בעלי תארים מישראל מתוך אוכלוסיית בני 55-35 תש""ף 2019/20","השכלה גבוהה אחוז הנכנסים להשכלה גבוהה בתוך 8 שנים בקרב תלמידי יב תש""ף 2019/20","השכלה גבוהה אחוז סטודנטים מתוך כלל האוכלוסייה תש""ף 2019/20",עובדי הוראה מספר עובדי הוראה,עובדי הוראה אחוז בעלי דרגת שכר תואר שני ומעלה,עובדי הוראה ממוצע תלמידים למורה,עובדי הוראה ממוצע שעות עבודה שבועיות לתלמיד
"3,640",קרני שומרון,27.64,0.86,76.32,67.54,38.94,..,4.64,246,35.37,8.85,3.5
543,ראמה,27.24,0.9,75,62.88,20.53,38.7,3.39,216,27.78,8.22,3.88
"2,640",ראש העין,26.13,0.81,75.25,67.95,34.39,38.4,3.16,"1,043",38.45,11.41,2.65
26,ראש פינה,29.43,1.82,72.73,68.18,38.35,..,4.28,..,..,..,..
"8,300",ראשון לציון,27.81,0.68,81.73,72.7,26.26,44.2,2.99,"3,749",44.17,11.34,2.78
"1,161",רהט,27.29,4.53,57.43,42.65,7.49,16.2,1.77,"1,872",24.31,10.48,3.16
"8,400",רחובות,27.77,1.23,77.01,67.68,39.02,42.4,3.16,"2,695",39.07,10.62,2.9
542,ריינה,27.79,2.25,59.32,51.19,8.92,22.4,2.24,316,37.03,14.14,2.24
922,רכסים,24.21,1.32,15.93,7.14,7.82,20.7,1.12,204,7.35,13.1,1.76
"8,500",רמלה,25.69,1.8,64.85,50.1,9.04,25.4,1.73,"1,601",30.54,11.17,2.75
